Name,ConstituentID,Nationality,Continent,Rank,Count,Gender,BeginDate,EndDate,Description,Plot_Path,Local_Image_Path
Anri Sala,29622,Albanian,Europe,1,5,Male,1974,0,"Anri Sala is an acclaimed Albanian contemporary artist who explores the intersection of sound, image, and architecture. He rose to fame with video works documenting post-communist Albania but has since moved toward complex installations where music acts as the primary storyteller. Sala often manipulates classical scores and places them within specific spatial contexts, forcing a dialogue between historical memory and the physical environment. His work is sensory and meditative, frequently challenging how audiences perceive time and social change. By treating sound as a sculptural element, Sala creates immersive experiences that have made him a pivotal figure in the evolution of time-based media.",Country_strip\Anri Sala_29622.png,country_top10_artist_images/Anri Sala.jpg
Adrian Paci,30621,Albanian,Europe,2,3,Male,1969,0,"Adrian Paci is a prominent Albanian artist whose work in video, painting, and sculpture deeply engages with the human experience of migration and displacement. After relocating to Italy during the 1990s unrest, Paci began creating art that serves as a bridge between personal history and universal struggles. He is celebrated for his ability to capture the 'waiting' and 'limbo' associated with the migrant journey, often using a painterly aesthetic to elevate political themes into timeless allegories. His focus on ritual, cultural identity, and the emotional weight of home has made him a vital voice in modern art.",Country_strip\Adrian Paci_30621.png,country_top10_artist_images/Adrian Paci.jpg
Bujar Alimani,43561,Albanian,Europe,3,1,Male,1969,0,"Bujar Alimani is a leading Albanian filmmaker known for his raw and humanistic approach to cinema. A central figure in the Balkan film scene, he often explores the lives of marginalized characters struggling against rigid social systems or the ghosts of Albania’s political past. His acclaimed films, such as Amnesty and The Delegation, are noted for their minimalist style, naturalistic performances, and deep psychological realism. Alimani’s work often captures the friction between individual desire and societal constraints, using the screen to process collective trauma. His dedication to authentic, gritty storytelling has established him as a key observer of modern Mediterranean life.",Country_strip\Bujar Alimani_43561.png,
Edi Rama,31324,Albanian,Europe,4,1,Male,1964,0,"Edi Rama is the current Prime Minister of Albania and a former painter who famously merged art with political reform. As the former Mayor of Tirana, he gained international attention for revitalizing the city by painting drab, grey communist-era buildings in vibrant, bold colors. This 'urban acupuncture' was designed to restore civic pride and symbolize a break from a stagnant past. Rama continues to view creativity as essential to governance, often creating intricate drawings during diplomatic meetings. His unique career path illustrates his belief that aesthetics can serve as a powerful tool for social transformation and the rebuilding of a national identity.",Country_strip\Edi Rama_31324.png,country_top10_artist_images/Edi Rama.jpg
El Hadi Jazairy,70052,Algerian,Africa,1,4,Male,1970,0,"El Hadi Jazairy is an architect, scholar, and co-founder of the studio DESIGN EARTH. His work focuses on 'speculative architecture,' using highly detailed mapping and drawings to address global environmental crises. Instead of designing standard buildings, Jazairy visualizes the vast, invisible systems of the Anthropocene—such as carbon cycles, resource extraction, and space debris. By creating 'geographic narratives,' he critiques how human infrastructure impacts the planet’s health and calls for a new ecological imagination. His visionary projects have been showcased at the Venice Biennale and MoMA, rethinking the relationship between the built environment and the Earth’s fragile ecosystems.",Country_strip\El Hadi Jazairy_70052.png,country_top10_artist_images/El Hadi Jazairy.jpg
M. Fiorini,1880,Algerian,Africa,2,2,Male,1922,2008,"Michele Fiorini is an architect and researcher who explores the complex relationship between technology, infrastructure, and urban space. Often collaborating on avant-garde territorial projects, Fiorini uses 'architectural storytelling' to reveal how invisible networks—like energy grids or transport systems—shape our physical world and social structures. His work moves beyond traditional design to investigate the political and ecological layers of land use. By deconstructing the way data and history are embedded in our cities, Fiorini challenges architects to consider the broader consequences of their work. His research-driven approach emphasizes that architecture is a vital tool for understanding hidden power dynamics.",Country_strip\M Fiorini_1880.png,country_top10_artist_images/M. Fiorini.jpg
Neïl Beloufa,49216,Algerian,Africa,3,2,Male,1985,0,"Neïl Beloufa is a French-Algerian artist and filmmaker known for his low-fi aesthetic and deconstruction of digital culture. His work consists of complex, multimedia installations that blend sculptural elements with films to explore power, media, and social interactions. Beloufa often blurs the line between reality and fiction, creating scripted scenarios that expose the absurdities of modern communication and political systems. His 'do-it-yourself' style intentionally leaves wires and structures exposed, forcing viewers to question the authenticity of the images they consume. By navigating the friction between the digital and physical worlds, Beloufa analyzes how information shapes our contemporary reality.",Country_strip\Neïl Beloufa_49216.png,
Djamila Sahraoui,43626,Algerian,Africa,4,1,Female,1950,0,"Djamila Sahraoui is a distinguished Algerian filmmaker whose work focuses on the resilience of the human spirit in the face of political violence and social upheaval. Originally a documentarian, she transitioned to narrative films that maintain a sharp, realistic gaze on her homeland’s history. Sahraoui is particularly celebrated for her powerful portrayals of women, as seen in her masterpiece Yema, which explores the devastating effects of the Algerian Civil War. Her style is characterized by its emotional depth, silence, and use of the rugged landscape as a backdrop for internal grief. Through her courageous storytelling, she has become a vital chronicler of Algeria’s collective memory.",Country_strip\Djamila Sahraoui_43626.png,country_top10_artist_images/Djamila Sahraoui.jpg
Lyès Salem,43595,Algerian,Africa,5,1,Male,1973,0,"Lyès Salem is a versatile Algerian-French actor and director who uses satire to explore the complexities of post-colonial identity and politics. His films, such as Masquerades and The Lying Frenchman, often blend humor with sharp social critique, humanizing difficult topics like corruption and the weight of history. Salem’s work frequently addresses the duality of his cultural background, navigating the space between France and Algeria with wit and nuance. By focusing on the 'heroism' of everyday people, he makes political issues accessible and relatable. As both a performer and filmmaker, Salem is a key figure in North African cinema, balancing lighthearted storytelling with profound cultural insights.",Country_strip\Lyès Salem_43595.png,
Ludwig Mies van der Rohe,7166,American,North America,1,654,Male,1886,1969,"Ludwig Mies van der Rohe is a titan of Modernist architecture and a former director of the Bauhaus. Famous for his 'less is more' philosophy, he pioneered an architectural language that utilized industrial steel and large panes of glass to create open, minimalist spaces. His 'skin and bones' structures, such as the Seagram Building and the Barcelona Pavilion, redefined the 20th-century skyline and emphasized clarity and material honesty over ornamentation. Mies believed that architecture should reflect the modern age through structural purity and elegant proportions. His influence remains foundational to contemporary design, setting the standard for urban sophistication.",Country_strip\Ludwig Mies van der Rohe_7166.png,country_top10_artist_images/Ludwig Mies van der Rohe.jpg
